stars	language	updated	issues	size	forks	watchers	repo	created	description
732	Java	2023-01-03	1345	123092	411	732	https://github.com/IQSS/dataverse	2013-11-01	Open source research data repository software
675	Python	2022-12-23	450	50868	149	675	https://github.com/glue-viz/glue	2011-05-18	Linked Data Visualizations Across Multiple Files
651	R	2022-02-07	122	31425	133	651	https://github.com/hms-dbmi/UpSetR	2015-05-26	An R implementation of the UpSet set visualization technique published by Lex, Gehlenborg, et al..  
346	JavaScript	2022-12-23	174	57214	65	346	https://github.com/harvard-lil/perma	2013-05-06	Indelible links
269	Python	2022-11-10	153	263770	87	269	https://github.com/mediacloud/backend	2013-06-26	Media Cloud is an open source, open data platform that allows researchers to answer quantitative questions about the content of online media.
193	Java	2022-02-08	15	66056	50	193	https://github.com/harvardinformatics/JAuth	2011-09-23	Java GUI client to generate Google authentication codes
187	JavaScript	2022-12-14	74	18263	31	187	https://github.com/hms-dbmi/viv	2020-01-24	Library for multiscale visualization of high-resolution multiplexed bioimaging data on the web. Directly renders Zarr and OME-TIFF.
171	HTML	2018-02-21	1	19713	20	171	https://github.com/berkmancenter/internet_monitor	2013-08-05	The Internet Monitor is a research project to evaluate, describe, and summarize the means, mechanisms, and extent of Internet content controls and Internet activity around the world.
159	R	2020-04-05	43	14632	64	159	https://github.com/hms-dbmi/scde	2015-05-06	R package for analyzing single-cell RNA-seq data
149	Ruby	2022-05-31	20	245	28	149	https://github.com/berkmancenter/namae	2012-05-21	Namae (名前) parses personal names and splits them into their component parts.
123	Ruby	2023-01-03	2	19565	102	123	https://github.com/berkmancenter/lumendatabase	2012-04-16	The Lumen Database collects and analyzes legal complaints and requests for removal of online materials.
113	JavaScript	2016-02-05	5	3601	11	113	https://github.com/HBRGTech/daisy	2014-11-16	daisy is a vagrant and grunt-powered Pattern Lab, derivative work from hbr.org's 2014 redesign.
103	C	2017-06-01	1	135	1	103	https://github.com/HarvardPL/shill	2014-10-04	Scripting with Least Privilege
